#Data Set Export - Discharge Total.Change-in-Storage@08461200,
Timestamp (UTC-06:00),Value (m^3)
2020-06-29 00:00:00,0
2020-06-30 00:00:00,1293000.0000002328
2020-07-01 00:00:00,-647000.0000004657
2020-07-02 00:00:00,2589000.0000001164
2020-07-03 00:00:00,2586000.0000004657
2020-07-04 00:00:00,2587000.0000001164
2020-07-05 00:00:00,4527999.999999534
2020-07-06 00:00:00,7115000.000000931
2020-07-07 00:00:00,5173999.999999884
2020-07-08 00:00:00,7752999.999999651
2020-07-09 00:00:00,7535000.000000349
2020-07-10 00:00:00,9558999.999999767
2020-07-11 00:00:00,8343000
2020-07-12 00:00:00,7150000.000000116
2020-07-13 00:00:00,7149999.9999993015
2020-07-14 00:00:00,8341000.000000349
2020-07-15 00:00:00,5957999.999999534
2020-07-16 00:00:00,9534000.000000233
2020-07-17 00:00:00,5363000.000000815
2020-07-18 00:00:00,7149999.9999993015
2020-07-19 00:00:00,2979000.0000006985
2020-07-20 00:00:00,4765999.999998952
2020-07-21 00:00:00,1788000.0000009313
2020-07-22 00:00:00,1785999.9999995343
2020-07-23 00:00:00,0
2020-07-24 00:00:00,-8339999.999999418
2020-07-25 00:00:00,-11917000.000000931
2020-07-26 00:00:00,-16683999.999999419
2020-07-27 00:00:00,-20258000.0000007
2020-07-28 00:00:00,-11915999.99999965
2020-07-29 00:00:00,-7155000.000000116
2020-07-30 00:00:00,-6037999.999999884
2020-07-31 00:00:00,-6384000.000000116
2020-08-01 00:00:00,-6462999.9999993015
2020-08-02 00:00:00,-5821000.000000815
2020-08-03 00:00:00,-2588000
2020-08-04 00:00:00,-2586000
2020-08-05 00:00:00,-1939999.9999990687
2020-08-06 00:00:00,-1942000.0000001164
2020-08-07 00:00:00,0
2020-08-08 00:00:00,-645999.9999998836
2020-08-09 00:00:00,-3234000.0000012806
2020-08-10 00:00:00,647000.0000004657
2020-08-11 00:00:00,-1293999.9999997672
2020-08-12 00:00:00,0
2020-08-13 00:00:00,2587000.0000001164
2020-08-14 00:00:00,0
2020-08-15 00:00:00,0
2020-08-16 00:00:00,0
2020-08-17 00:00:00,1294000.0000004657
2020-08-18 00:00:00,1292999.9999987194
2020-08-19 00:00:00,1295000.0000012806
2020-08-20 00:00:00,645999.9999990687
2020-08-21 00:00:00,0
2020-08-22 00:00:00,646000
2020-08-23 00:00:00,0
2020-08-24 00:00:00,1293999.9999998836
2020-08-25 00:00:00,1294000.000000815
2020-08-26 00:00:00,3881000.000000233
2020-08-27 00:00:00,0
2020-08-28 00:00:00,1293999.9999989523
2020-08-29 00:00:00,3880000.0000009313
2020-08-30 00:00:00,2585999.999999767
2020-08-31 00:00:00,4523000.000000116
2020-09-01 00:00:00,2572000.000000233
2020-09-02 00:00:00,-641000.0000005821
2020-09-03 00:00:00,-644000.0000003492
2020-09-04 00:00:00,-2577999.9999996508
2020-09-05 00:00:00,-3878000
2020-09-06 00:00:00,-647999.9999996508
2020-09-07 00:00:00,-1939999.9999998836
2020-09-08 00:00:00,-8407000.000000115
2020-09-09 00:00:00,0
2020-09-10 00:00:00,0
2020-09-11 00:00:00,-1294000.000000815
2020-09-12 00:00:00,-1293999.9999998836
2020-09-13 00:00:00,-1939999.999999185
2020-09-14 00:00:00,-4527000.0000006985
2020-09-15 00:00:00,-1293999.9999997672
2020-09-16 00:00:00,-3234000.0000001164
2020-09-17 00:00:00,-7115000.000000233
2020-09-18 00:00:00,-3881000
2020-09-19 00:00:00,0
2020-09-20 00:00:00,-1292999.9999998836
2020-09-21 00:00:00,-2586999.999999418
2020-09-22 00:00:00,-1294000.0000006985
2020-09-23 00:00:00,-1293000.0000001164
2020-09-24 00:00:00,-646999.9999995343
2020-09-25 00:00:00,646999.9999995343
2020-09-26 00:00:00,-3880999.9999993015
2020-09-27 00:00:00,-2586999.9999995343
2020-09-28 00:00:00,1293999.9999995343
2020-09-29 00:00:00,1293000
2020-09-30 00:00:00,0
2020-10-01 00:00:00,1293000.0000004657
2020-10-02 00:00:00,0
2020-10-03 00:00:00,-1293000.0000004657
2020-10-04 00:00:00,-647000.0000003492
2020-10-05 00:00:00,-645999.9999996508
2020-10-06 00:00:00,-647999.9999998836
2020-10-07 00:00:00,-645999.9999996508
2020-10-08 00:00:00,0
2020-10-09 00:00:00,1293999.9999995343
