#Data Set Export - Reservoir Elevation.Web-Daily-m@08461200,
Timestamp (UTC-06:00),Value (m)
2026-03-29 00:00:00,78.33442859433386
2026-03-30 00:00:00,78.30801848076455
2026-03-31 00:00:00,78.29060836719523
2026-04-01 00:00:00,78.26719825362592
2026-04-02 00:00:00,78.2337881400566
2026-04-03 00:00:00,78.21037802648728
2026-04-04 00:00:00,78.18596791291795
2026-04-05 00:00:00,78.22155779934863
2026-04-06 00:00:00,78.27814768577932
2026-04-07 00:00:00,78.27337659672065
2026-04-08 00:00:00,78.2800933155331
2026-04-09 00:00:00,78.28681003434554
2026-04-10 00:00:00,78.28852675315798
2026-04-11 00:00:00,78.3032434719704
2026-04-12 00:00:00,78.29796019078286
2026-04-13 00:00:00,78.30967690959528
2026-04-14 00:00:00,78.317
2026-04-15 00:00:00,78.335
2026-04-16 00:00:00,78.359
2026-04-17 00:00:00,78.387
2026-04-18 00:00:00,78.45477832522123
2026-04-19 00:00:00,78.58547562703073
2026-04-20 00:00:00,78.66317292884025
2026-04-21 00:00:00,78.702
2026-04-22 00:00:00,78.727
2026-04-23 00:00:00,78.741
2026-04-24 00:00:00,78.747
2026-04-25 00:00:00,78.76058146882944
2026-04-26 00:00:00,78.77224542349046
2026-04-27 00:00:00,78.78190937815148
2026-04-28 00:00:00,78.7818945509197
2026-04-29 00:00:00,78.7792866249847
2026-04-30 00:00:00,78.77767869904973
2026-05-01 00:00:00,78.78107077311475
2026-05-02 00:00:00,78.79746284717977
2026-05-03 00:00:00,78.7718549212448
2026-05-04 00:00:00,78.7532469953098
2026-05-05 00:00:00,78.76252363010987
2026-05-06 00:00:00,78.7662088899034
2026-05-07 00:00:00,78.776
2026-05-08 00:00:00,78.781
2026-05-09 00:00:00,78.778
2026-05-10 00:00:00,78.792
2026-05-11 00:00:00,78.813
2026-05-12 00:00:00,78.83001769229946
2026-05-13 00:00:00,78.85339561083991
2026-05-14 00:00:00,78.85520575240623
2026-05-15 00:00:00,78.84869424826775
2026-05-16 00:00:00,78.829
2026-05-17 00:00:00,78.801
2026-05-18 00:00:00,78.775
2026-05-19 00:00:00,78.75112146253878
2026-05-20 00:00:00,78.74925469951913
2026-05-21 00:00:00,78.76638793649948
2026-05-22 00:00:00,78.84652117347983
2026-05-23 00:00:00,78.91565441046018
2026-05-24 00:00:00,79.04778764744054
2026-05-25 00:00:00,79.07992088442089
2026-05-26 00:00:00,79.11005412140125
2026-05-27 00:00:00,79.12928691452919
2026-05-28 00:00:00,79.16621728632298
2026-05-29 00:00:00,79.25714765811675
2026-05-30 00:00:00,79.318
2026-05-31 00:00:00,79.376
2026-06-01 00:00:00,79.426
2026-06-02 00:00:00,79.451
2026-06-03 00:00:00,79.463
2026-06-04 00:00:00,79.473
2026-06-05 00:00:00,79.475
2026-06-06 00:00:00,79.48
2026-06-07 00:00:00,79.493
2026-06-08 00:00:00,79.521
2026-06-09 00:00:00,79.540911908779
2026-06-10 00:00:00,79.55390538367591
2026-06-11 00:00:00,79.566823685328
2026-06-12 00:00:00,79.57347631853239
2026-06-13 00:00:00,79.57812895173674
2026-06-14 00:00:00,79.58778158494113
2026-06-15 00:00:00,79.5984342181455
2026-06-16 00:00:00,79.63308685134986
2026-06-17 00:00:00,79.75973948455425
2026-06-18 00:00:00,79.91439211775862
2026-06-19 00:00:00,80.05
2026-06-20 00:00:00,80.12
2026-06-21 00:00:00,80.18
2026-06-22 00:00:00,80.218
2026-06-23 00:00:00,80.241
2026-06-24 00:00:00,80.262
2026-06-25 00:00:00,80.285
2026-06-26 00:00:00,80.3
2026-06-27 00:00:00,80.306
2026-06-28 00:00:00,80.309
2026-06-29 00:00:00,80.309
"Data are being provided with the understanding they are provisional and subject to future revision. Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data. Not all datasets have received subsequent review and approval, and thus may contain errors. Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences. USIBWC does not warrant that these data are accurate or appropriate for any particular use case and advises that they may contain error as they are provisional in nature. USIBWC is not liable for the accuracy of these data or the use of these data for any purpose. Additional information regarding these datasets can be obtained from the USIBWC. For additional information, please contact the USIBWC Water Accounting Division.",
